year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16493,6.0,1.0,46.0,111.0,10.0,0.0,1.0,0.0,36.4,6.1,278.9,673.0,60.6,0.0,6.1,0.0
1982,75,149.0,Pike,8,Central,Mostly Rural,72.3,18879,8.0,0.0,67.0,159.0,3.0,0.0,0.0,3.0,42.4,0.0,354.9,842.2,15.9,0.0,0.0,15.9
1982,76,151.0,Pope,1,Southern,Completely Rural,100.0,4367,9.0,0.0,48.0,39.0,0.0,0.0,0.0,0.0,206.1,0.0,1099.2,893.1,0.0,0.0,0.0,0.0
1982,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,8733,37.0,4.0,8.0,32.0,2.0,0.0,7.0,0.0,423.7,45.8,91.6,366.4,22.9,0.0,80.2,0.0
1982,78,155.0,Putnam,10,Central,Completely Rural,100.0,6076,7.0,1.0,4.0,46.0,6.0,0.0,0.0,1.0,115.2,16.5,65.8,757.1,98.7,0.0,0.0,16.5
1982,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,35825,33.0,4.0,143.0,268.0,24.0,0.0,1.0,0.0,92.1,11.2,399.2,748.1,67.0,0.0,2.8,0.0
1982,80,159.0,Richland,2,Southern,Mostly Urban,43.5,18515,15.0,6.0,141.0,335.0,17.0,4.0,1.0,0.0,81.0,32.4,761.5,1809.3,91.8,21.6,5.4,0.0
1982,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,166165,411.0,51.0,2098.0,5823.0,321.0,3.0,140.0,31.0,247.3,30.7,1262.6,3504.3,193.2,1.8,84.3,18.7
1982,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,266073,1575.0,87.0,3226.0,5193.0,832.0,56.0,414.0,125.0,591.9,32.7,1212.4,1951.7,312.7,21.0,155.6,47.0
1982,83,165.0,Saline,1,Southern,Mostly Urban,43.7,28953,39.0,3.0,198.0,521.0,50.0,0.0,3.0,3.0,134.7,10.4,683.9,1799.5,172.7,0.0,10.4,10.4
